topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
Trade Ninjas,,"Trade Ninjas are a small faction that owns and guards bars in places like The Hub, Mourn, and the Rebel Base. They protect their establishments from bandits and troublemakers, and run what many consider shady black market operations. If certain cities fall under new control, Trade Ninjas expand their bar ownership there as well.",,,"Trade Ninjas, Trade_Ninjas","Factions, Ninja"
Black Market Bar,,"The Black Market Bar is a small establishment run by the Trade Ninjas. It serves as both a drinking spot and a shop selling construction materials and weapons. The bar is known for accepting stolen goods, as long as they weren't stolen from the Trade Ninjas themselves.",,,"Black Market Bar, Black_Market_Bar","Town Residents, Vendors"
Trader's Edge,,"Trader's Edge is a settlement on a plateau next to the city of Heng in United Cities territory, connected by a metal bridge and protected at its entrance by UC forces. It serves as the headquarters of the Traders Guild, where their leader Longen resides. The town relies on supplies from nearby mining camps and is a common stop for trade caravans passing through the region.",,,"Trader's Edge, Trader's_Edge, Traders Edge",Locations
Trader's Edge (Alpha),,"Trader's Edge was a town in the old world that existed near Brink, Catun, and Telbooze. It was controlled by the United Cities. The town eventually made it into the final version of the world, though its original form from the alpha period no longer exists.",,,"Trader's Edge (Alpha), Trader's_Edge_(Alpha), Traders Edge Alpha",Removed Content
Traders Guild,,"The Traders Guild is a powerful merchant faction based in the United Cities that handles trade between towns across the land. Though aligned with the Empire, they maintain neutrality to trade with many factions, even enemies like the Holy Nation. They manage slave camps through the Noble Circle and employ guards and samurai to protect their caravans and headquarters in Trader's Edge.",,,"Traders Guild, Traders_Guild","Factions, Traders Guild, United Cities"
Truth Two,,"They are considered among the finest weapon makers, second only to Edgewalkers in reputation. Truth Two does not manufacture certain weapon types like cleavers, clubs, or slim katanas.",,,"Truth Two, Truth_Two","Manufacturers, Removed Content"
Turrets,,"Turrets are defensive structures that fire arrows at enemies and require trained operators to use effectively. A character's skill with turrets improves their accuracy and firing speed while reducing the chance of hitting allies. These weapons do not need ammunition and can be manned by anyone, though inexperienced operators may accidentally strike friendly units.",,,Turrets,"Buildings, Statistics"
Twinblades,,"The Twinblades are a gang of Scorchlanders operating in the Swamp who make their living through kidnapping and ransom. They harvest organs from captives who cannot pay and extort doctors for body parts. Led by Big Fang from Mud Town, they are the smallest of the Swamp gangs and control no settlements of their own.",,,Twinblades,"Factions, Swamp Gangs, Swampers"
Undertaker,,"Undertakers are workers who operate the corpse furnaces in Mongrel, disposing of the dead in that fog-shrouded town. They can be human, Shek, or Hive, and typically wear light armor while carrying a moon cleaver. Some Undertakers also work with the Tech Hunters in Black Scratch.",,,Undertaker,Characters
United Heroes League,,"The United Heroes League is a faction of Greenlander vigilantes who operate in United Cities territory, claiming to be protectors of their cities. They are hostile to non-human races and foreigners, often harassing and accusing them of various crimes. Their leader, Lord Mirage, can be found at Fort Mirage in The Great Desert, and their patrols are commonly seen in major United Cities settlements.",,,"United Heroes League, United_Heroes_League","Factions, Traders Guild, United Cities, United Heroes League"
United Weekly Newspaper,,"The United Weekly Series is a newspaper that circulates throughout the United Cities. It features fashion segments and publishes articles criticizing the Hive race, and more recently has begun running pieces against the Shek as well.",,,"United Weekly Series, United_Weekly_Series","Books, United Cities"
Urchin,,"Urchins are large fossilized remains that resemble giant sea urchins, scattered across various regions but especially common in the southern Border Zone and Stenn Desert. Some believe their presence suggests the land was once covered by water long ago. They are ancient remnants of a bygone era.",,,Urchin,World Elements
Vagrants,,"Vagrants are poor and starving people found throughout the United Cities, often hanging around bars or turning to banditry in the northwestern territories. They are not a true organized faction but rather a loose category of desperate individuals. Some vagrants work as bar thugs in various towns, while others have fallen into slavery under the Reavers.",,,Vagrants,"Factions, WIP"
Vain,,"Vain is the heartland of the Western Hive, a coastal zone with red acidic rivers and unusual biodiversity. Despite the ominous bloody terrain and acidic water, the land is safe for travel and farming, though dangerous creatures like Beak Things and Gorillos roam the area. It borders the Holy Nation lands to the east and Shek Kingdom territory to the south.",,,Vain,Zones
Valamon,,"Valamon is a tall, muscular Shek warlord who leads the Reavers from their capital at Ark. He is wanted by the United Cities for robbery, murder, kidnapping, and attacking their patrols and citizens. If he is removed from power, his territory may be claimed by the Crab Raiders or fall into ruin, and his organized raids will cease.",,,Valamon,"Bosses, Bounty, Characters, Reavers, Stobe's Garden, Superbosses, Unique"
Okran's Valley,,"Okran's Valley is a northern territory of the Holy Nation, named after their god and situated between two mountains called Arm of Okran. The land transitions from grassy southern forests to northern desert as it approaches United Cities borders. Holy army patrols regularly pass through, and the locals are hostile to non-humans.",,,"Okran's Valley, Okran's_Valley, Okrans Valley",Zones
Venge,,"Venge is a dangerous region of heated valleys and mountains where deadly laser beams rain down from above, burning anyone not protected by full burn-resistant armor, though Skeletons are immune. The beams come from an ancient Eye system still running overhead. The area is prowled by thralls from the Tower of Abuse, along with beak things and various spiders.",,,Venge,Zones
War Gorillo,,"War Gorillos are large, dangerous creatures domesticated by the Southern Hive for combat purposes. They are typically found near the nest of the Queen of the South and throughout Southern Hive territory. These animals are formidable in battle and pose a serious threat to unprepared travelers.",,,"War Gorillo, War_Gorillo","Animals, Characters, Southern Hive"
Watcher's Rim,,"Watcher's Rim is a mountain range that surrounds Arach, the territory of the Bugmaster. The area attracts many adventurers, including bounty hunters and mercenaries seeking fortune or glory. There are no permanent settlements or towns in this harsh mountainous region.",,,"Watcher's Rim, Watcher's_Rim, Watchers Rim",Zones
Way Of The Warrior: The Book Of Kral,,"This is an ancient warrior doctrine written by Kral himself, emphasizing that death means nothing compared to eternal glory. The book is closely associated with Shek Kingdom philosophy and can be found in their headquarters.",,,"Way Of The Warrior: The Book Of Kral, Way_Of_The_Warrior:_The_Book_Of_Kral, Way Of The Warrior The Book Of Kral",Books
Wend,,"Wend is a zone along the river of the same name, separating Rebirth from the northeastern Holy Nation territories. It contains the Drowned Ruins where the legendary Armour King resides, and wandering Skeletons sometimes patrol the area. The Lost Library is technically in Wend but can only be reached by backtracking through Rebirth and past Blood Spiders.",,,Wend,Zones
